Name,NameAlias,Age,Dist,Score,Percentage,Region,DISTRICT,Place,East,North,colour,colourcheck,nose,body,palate,fin,area,Lon,Lat
Aberfeldy,Aberfeldy,-9,2,69,40,HIGH,MIDLAND,Aberfeldy,3.875,56.62,yellow,yellow,"Aroma, Peat, Fruit","soft, med","sherry, oil","full, dry, fruit, spice",midland,285042.7567,749143.6094
Aberlour,Aberlour,12,4,83,43,HIGH,SPEY,Aberlour,3.22,57.46,red,red,"Sweet, Rich","soft, med, full, round, smooth","full, sherry, fruit, sweet, spice","clean, ling",spey,326903.6613,841736.4172
Ardberg,Ardberg,10,4,85,40,ISLAY,SOUTH,Ardberg,6.08,55.64,sherry,sherry,"sherry, Peat, Dry, Sea","med, full, light, firm",sweet,salt,islay,143348.5388,646046.5878
Ardmore,Ardmore,18,2,66,46,HIGH,SPEY,Ardmore,2.67,57.32,p_gold,p_gold,"Sweet, Grass, Sherry",full,"big, grass, sweet",big,spey,359747.1258,825692.3123
Auchentoshan,Auchentosh,10,5,85,40,LOW,WEST,Auchentoshan,4.39,55.91,p_gold,p_gold,"Fresh, Fruit, Grass",soft,"light, fruit, grass, sweet",spice,lowland,250704.8031,671125.6586
Aultmore,Aultmore,12,3,75,40,HIGH,SPEY,Aultmore,3.01,57.6,v_pale,v_pale,"Aroma, Fresh",firm,"light, fruit, spice",dry,spey,339734.1335,857114.5645
Balblair,Balblair,10,3,76,40,HIGH,NORTH,Balblair,4.17,57.83,wyne,wyne,"Fresh, Fruit",light,"fruit, sweet, spice","dry, fruit, ling",north,271234.455,884337.8261
Balmenach,Balmenach,-9,3,69,40,HIGH,SPEY,Balmenach,3.13,57.42,p_gold,p_gold,"Aroma, Peat, Sweet, Fruit, Grass","soft, med, smooth, light","dry, sweet",long,spey,332228.9767,837190.3423
Balvenie,Balvenie,-9,4,85,40,HIGH,SPEY,Balvenie,3.1,57.45,amber,amber,"Aroma, Fruit",med,"full, dry, sweet","oil, ling",spey,334084.7976,840500.3195
Banff,Banff,-9,2,66,40,HIGH,SPEY,Banff,2.51,57.65,f_gold,f_gold,"Aroma, Peat",med,"clean, smoke, sweet","clean, spice",spey,369659.1762,862346.1445
Ben Nevis,Ben Nevis,-9,1,55,40,HIGH,WEST,Ben Nevis,5.08,56.79,f_amber,f_amber,"Fruit, Grass","firm, oily","fruit, sweet",sweet,west,211973.3898,770727.0951
Benriach,Benriach,-9,3,69,40,HIGH,SPEY,Benriach,3.24,57.59,gold,gold,"Aroma, Grass","med, light","dry, sweet","dry, warm, smoke",spey,325968.124,856229.3456
Benrinnes,Benrinnes,-9,3,78,40,HIGH,SPEY,Benrinnes,3.24,57.43,amber,amber,"Aroma, Peat","med, round, smooth, firm","full, dry","dry, big, smoke",spey,325642.8748,838418.6709
Benromach,Benromach,-9,3,75,40,HIGH,SPEY,Benromach,3.6,57.6,amber,amber,"Aroma, Peat, Dry, Grass",med,"full, light, smooth, fruit, grass, smoke, sweet","fruit, smoke",spey,304474.5783,857792.8934
Bladnoch,Bladnoch,8,4,85,40,LOW ,BORDERS,Bladnoch,4.44,54.86,yellow,yellow,"Fruit, Grass","light, firm",full,"big, light, fruit",lowland,243483.0971,554418.5214
Blair Athol,Blair Atho,8,3,75,40,HIGH,MIDLAND,Blair Athol,3.74,56.72,p_gold,p_gold,"Fresh, Spicy","med, light","dry, light, sweet, spice, arome","smooth, spice",midland,293608.2634,760054.5474
Bowmore,Bowmore,10,4,81,40,ISLAY,LOCH,Bowmore,6.28,55.75,o_gold,o_gold,"Peat, Dry, Grass, Sea","med, light",sweet,"salt, quick",islay,131527.2028,659035.432
