Name,NameAlias,wyne,yellow,v_pale,pale,p_gold,gold,o_gold,f_gold,bronze,p_amber,amber,f_amber,red,sherry,Aroma,Peat,Sweet,Light,Fresh ,Dry,Fruit,Grass,Sea,Sherry,Spicy,Rich,soft,med,full,round,smooth,light,firm,oily,full,dry,sherry,big,light,smooth,clean,fruit,grass,smoke,sweet,spice,oil,salt,arome,full,dry,warm,big,light,smooth,clean,fruit,grass,smoke,sweet,spice,oil,salt,arome,ling,long,very,quick,Age,Dist,Score,Percentage,Region,DISTRICT,islay,midland,spey,east,west,north ,lowland,campbell,islands,Place,East,North
Aberfeldy,Aberfeldy,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,-9,2,69,40,HIGH,MIDLAND,0,1,0,0,0,0,0,0,0,Aberfeldy,3.875,56.62
Aberlour,Aberlour,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,12,4,83,43,HIGH,SPEY,0,0,1,0,0,0,0,0,0,Aberlour,3.22,57.46
Ardberg,Ardberg,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,4,85,40,ISLAY,SOUTH,1,0,0,0,0,0,0,0,0,Ardberg,6.08,55.64
Ardmore,Ardmore,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2,66,46,HIGH,SPEY,0,0,1,0,0,0,0,0,0,Ardmore,2.67,57.32
Auchentoshan,Auchentosh,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,5,85,40,LOW,WEST,0,0,0,0,0,0,1,0,0,Auchentoshan,4.39,55.91
Aultmore,Aultmore,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,75,40,HIGH,SPEY,0,0,1,0,0,0,0,0,0,Aultmore,3.01,57.6
Balblair,Balblair,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,10,3,76,40,HIGH,NORTH,0,0,0,0,0,1,0,0,0,Balblair,4.17,57.83
Balmenach,Balmenach,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-9,3,69,40,HIGH,SPEY,0,0,1,0,0,0,0,0,0,Balmenach,3.13,57.42
Balvenie,Balvenie,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,-9,4,85,40,HIGH,SPEY,0,0,1,0,0,0,0,0,0,Balvenie,3.1,57.45
Banff,Banff,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,-9,2,66,40,HIGH,SPEY,0,0,1,0,0,0,0,0,0,Banff,2.51,57.65
