"Parish","meteo","NReportsM"
"Aberfoyle","yes",3
"Athelstaneford","yes",1
"Auchterderran","yes",4
"Ayr","yes",2
"Ayton","yes",3
"Ballantrae","yes",4
"Botriphnie","yes",2
"Bressay_Burra_and_Quarff","yes",2
"Carmylie","yes",1
"Carriden","yes",1
"Contents_and_Misc","yes",1
"Cramond","yes",3
"Crossmichael","yes",4
"Culross","yes",2
"Dalmeny","yes",2
"Delting","yes",1
"Dunnichen","yes",4
"Dunsyre","yes",1
"Edrom","yes",1
"Edzell","yes",5
"Holywood","yes",6
"Hounam","yes",1
"Houston_and_Killallan","yes",3
"Innerwick","yes",2
"Jedburgh","yes",3
"Kilrenny","yes",1
"Kiltearn","yes",5
"Kings_Kettle","yes",3
"Kirkmichael","yes",2
"Lauder","yes",3
"Lessudden_or_St_Boswells","yes",1
"Linton","yes",3
"Lismore_and_Appin","yes",3
"Lunan","yes",1
"Meigle","yes",2
"Newbattle","yes",1
"Newlands","yes",2
"Penpont","yes",1
"Portpatrick","yes",2
"Sorbie","yes",8
"Stranraer","yes",2
"Troqueer","yes",1
"Wick","yes",5
"Yester","yes",2
