Name,NameAlias,Age,Dist,Score,Percentage,Region,DISTRICT,Place,East,North,colour,nose,body,palate,fin,area
Aberfeldy,Aberfeldy,-9,2,69,40,HIGH,MIDLAND,Aberfeldy,3.875,56.62,yellow,"Aroma, Peat, Fruit","soft, med","sherry, oil","full, dry, fruit, spice",midland
Aberlour,Aberlour,12,4,83,43,HIGH,SPEY,Aberlour,3.22,57.46,red,"Sweet, Rich","soft, med, full, round, smooth","full, sherry, fruit, sweet, spice","clean, ling",spey
Ardberg,Ardberg,10,4,85,40,ISLAY,SOUTH,Ardberg,6.08,55.64,sherry,"sherry, Peat, Dry, Sea","med, full, light, firm",sweet,salt,islay
Ardmore,Ardmore,18,2,66,46,HIGH,SPEY,Ardmore,2.67,57.32,p_gold,"Sweet, Grass, Sherry",full,"big, grass, sweet",big,spey
Auchentoshan,Auchentosh,10,5,85,40,LOW,WEST,Auchentoshan,4.39,55.91,p_gold,"Fresh, Fruit, Grass",soft,"light, fruit, grass, sweet",spice,lowland
Aultmore,Aultmore,12,3,75,40,HIGH,SPEY,Aultmore,3.01,57.6,v_pale,"Aroma, Fresh",firm,"light, fruit, spice",dry,spey
Balblair,Balblair,10,3,76,40,HIGH,NORTH,Balblair,4.17,57.83,wyne,"Fresh, Fruit",light,"fruit, sweet, spice","dry, fruit, ling",north
Balmenach,Balmenach,-9,3,69,40,HIGH,SPEY,Balmenach,3.13,57.42,p_gold,"Aroma, Peat, Sweet, Fruit, Grass","soft, med, smooth, light","dry, sweet",long,spey
Balvenie,Balvenie,-9,4,85,40,HIGH,SPEY,Balvenie,3.1,57.45,amber,"Aroma, Fruit",med,"full, dry, sweet","oil, ling",spey
Banff,Banff,-9,2,66,40,HIGH,SPEY,Banff,2.51,57.65,f_gold,"Aroma, Peat",med,"clean, smoke, sweet","clean, spice",spey
Ben Nevis,Ben Nevis,-9,1,55,40,HIGH,WEST,Ben Nevis,5.08,56.79,f_amber,"Fruit, Grass","firm, oily","fruit, sweet",sweet,west
