"","name","price","log_price","review.point","Owner","category","Distillery","Location","Region","Founded","ABV","n_Distillery"
"1","A. D. Rattray (distilled at Bowmore), 18 year old (Cask #2075), 53.5%",100,4.60517018598809,90,"Beam Suntory","Single Malt Scotch","Bowmore","Bowmore","Islay",1779,53.5,59
"2","A.D. Rattray (distilled at Highland Park) 19 year old 1992, 48.8%",120,4.78749174278205,89,"Edrington","Single Malt Scotch","Highland Park","Kirkwall","Island",1798,48.8,62
"3","Aberfeldy 14 year old Single Cask, 58.1%",181,5.19849703126583,94,"Bacardi","Single Malt Scotch","Aberfeldy","Aberfeldy","Highland",1896,58.1,13
"4","Aberfeldy 16 year old, 40%",90,4.49980967033027,84,"Bacardi","Single Malt Scotch","Aberfeldy","Aberfeldy","Highland",1896,40,13
"5","Aberfeldy 18 year old, 40%",130,4.86753445045558,86,"Bacardi","Single Malt Scotch","Aberfeldy","Aberfeldy","Highland",1896,40,13
"6","Aberfeldy Single Cask (Cask No. 5) 16 year old, 57.4%",250,5.52146091786225,92,"Bacardi","Single Malt Scotch","Aberfeldy","Aberfeldy","Highland",1896,57.4,13
"7","Aberfeldy, 12 year old, 40%",40,3.68887945411394,82,"Bacardi","Single Malt Scotch","Aberfeldy","Aberfeldy","Highland",1896,40,13
"8","Aberfeldy, 21 year old, 40%",170,5.13579843705026,88,"Bacardi","Single Malt Scotch","Aberfeldy","Aberfeldy","Highland",1896,40,13
"9","Aberlour 12 year old, 40%",55,4.00733318523247,87,"Chivas Brothers","Single Malt Scotch","Aberlour","Aberlour","Speyside",1879,40,15
"10","Aberlour 12 year old, 40%",44,3.78418963391826,84,"Chivas Brothers","Single Malt Scotch","Aberlour","Aberlour","Speyside",1879,40,15
"11","Aberlour 12 year old, 43%",45,3.80666248977032,84,"Chivas Brothers","Single Malt Scotch","Aberlour","Aberlour","Speyside",1879,43,15
"12","Aberlour 16 year old, 40%",80,4.38202663467388,88,"Chivas Brothers","Single Malt Scotch","Aberlour","Aberlour","Speyside",1879,40,15
"13","Aberlour 16 year old, 43%",55,4.00733318523247,90,"Chivas Brothers","Single Malt Scotch","Aberlour","Aberlour","Speyside",1879,43,15
"14","Aberlour 18 year old, 43%",125,4.8283137373023,92,"Chivas Brothers","Single Malt Scotch","Aberlour","Aberlour","Speyside",1879,43,15
"15","Aberlour 18 year old, 43%",100,4.60517018598809,91,"Chivas Brothers","Single Malt Scotch","Aberlour","Aberlour","Speyside",1879,43,15
