GeneralRating,NumberOfVotes,NumberOfWhiskies,Distilleries,Links
83.00,11,6,8 Doors Distillery,https://www.whiskybase.com/whiskies/distillery/94658/8-doors-distillery
0.00,,,Abbeyhill Distillery,https://www.whiskybase.com/whiskies/distillery/90777/abbeyhill-distillery
,,1,Aberargie Distillery,https://www.whiskybase.com/whiskies/distillery/92040/aberargie-distillery
84.28,9564,541,Aberfeldy,https://www.whiskybase.com/whiskies/distillery/29/aberfeldy
85.09,31494,1387,Aberlour,https://www.whiskybase.com/whiskies/distillery/48/aberlour
70.16,434,44,Abhainn Dearg,https://www.whiskybase.com/whiskies/distillery/237/abhainn-dearg
82.14,1595,33,Ailsa Bay,https://www.whiskybase.com/whiskies/distillery/83270/ailsa-bay
0.00,,,Albyn Distillery,https://www.whiskybase.com/whiskies/distillery/90279/albyn-distillery
84.65,4496,500,Allt-a-Bhainne,https://www.whiskybase.com/whiskies/distillery/93/allt-a-bhainne
84.15,1444,179,Annandale Distillery,https://www.whiskybase.com/whiskies/distillery/84180/annandale-distillery
81.86,81,15,Arbikie,https://www.whiskybase.com/whiskies/distillery/86814/arbikie
87.95,106179,2572,Ardbeg,https://www.whiskybase.com/whiskies/distillery/6/ardbeg
0.00,,,Ardenistile,https://www.whiskybase.com/whiskies/distillery/86710/ardenistile
84.33,3,3,Ardgowan Distillery,https://www.whiskybase.com/whiskies/distillery/90334/ardgowan-distillery
0.00,,,Ardlussa Distillery,https://www.whiskybase.com/whiskies/distillery/90281/ardlussa-distillery
85.42,22222,1929,Ardmore,https://www.whiskybase.com/whiskies/distillery/94/ardmore
0.00,,,Ardnahoe Distillery,https://www.whiskybase.com/whiskies/distillery/87170/ardnahoe-distillery
85.76,5777,179,Ardnamurchan,https://www.whiskybase.com/whiskies/distillery/84396/ardnamurchan
0.00,,,Argyll Distillery,https://www.whiskybase.com/whiskies/distillery/90278/argyll-distillery
85.55,48736,2432,Arran,https://www.whiskybase.com/whiskies/distillery/62/arran
84.12,18405,1357,Auchentoshan,https://www.whiskybase.com/whiskies/distillery/51/auchentoshan
84.28,12,2,Auchnagie,https://www.whiskybase.com/whiskies/distillery/86283/auchnagie
84.77,7453,818,Auchroisk,https://www.whiskybase.com/whiskies/distillery/136/auchroisk
85.23,9951,1036,Aultmore,https://www.whiskybase.com/whiskies/distillery/110/aultmore
80.50,2,3,Badachro Distillery,https://www.whiskybase.com/whiskies/distillery/91835/badachro-distillery
86.07,12892,737,Balblair,https://www.whiskybase.com/whiskies/distillery/86/balblair
88.10,72,15,Ballindalloch,https://www.whiskybase.com/whiskies/distillery/85065/ballindalloch
85.17,5907,701,Balmenach,https://www.whiskybase.com/whiskies/distillery/95/balmenach
86.42,32520,3658,Balvenie,https://www.whiskybase.com/whiskies/distillery/1/balvenie
88.34,3235,177,Banff,https://www.whiskybase.com/whiskies/distillery/88/banff
86.69,44208,1960,Ben Nevis,https://www.whiskybase.com/whiskies/distillery/52/ben-nevis
89.33,239,18,Ben Wyvis,https://www.whiskybase.com/whiskies/distillery/174/ben-wyvis
92.00,2,2,Ben Wyvis / Ferintosh,https://www.whiskybase.com/whiskies/distillery/85833/ben-wyvis-ferintosh
0.00,,2,Benachie Distillery,https://www.whiskybase.com/whiskies/distillery/87350/benachie-distillery
0.00,,,Benmore Distillery,https://www.whiskybase.com/whiskies/distillery/90260/benmore-distillery
86.03,45282,1986,BenRiach,https://www.whiskybase.com/whiskies/distillery/84/benriach
85.65,20069,1582,Benrinnes,https://www.whiskybase.com/whiskies/distillery/89/benrinnes
86.09,18582,640,Benromach,https://www.whiskybase.com/whiskies/distillery/53/benromach
85.49,11052,985,Bladnoch,https://www.whiskybase.com/whiskies/distillery/96/bladnoch
85.52,17724,1299,Blair Athol,https://www.whiskybase.com/whiskies/distillery/97/blair-athol
0.00,,1,Bon-Accord,https://www.whiskybase.com/whiskies/distillery/96535/bon-accord
84.38,7,2,Bonnington,https://www.whiskybase.com/whiskies/distillery/96122/bonnington
87.09,88772,3854,Bowmore,https://www.whiskybase.com/whiskies/distillery/4/bowmore
85.35,4434,566,Braeval,https://www.whiskybase.com/whiskies/distillery/157/braeval
0.00,,,Broombrae Distillery,https://www.whiskybase.com/whiskies/distillery/90263/broombrae-distillery
89.93,10575,282,Brora,https://www.whiskybase.com/whiskies/distillery/106/brora
86.91,115239,4174,Bruichladdich,https://www.whiskybase.com/whiskies/distillery/57/bruichladdich
86.49,81109,4020,Bunnahabhain,https://www.whiskybase.com/whiskies/distillery/85/bunnahabhain
0.00,,,Burn O'Bennie,https://www.whiskybase.com/whiskies/distillery/95999/burn-obennie
0.00,,,Burnside Distillery,https://www.whiskybase.com/whiskies/distillery/90282/burnside-distillery
87.50,1119,106,Caledonian,https://www.whiskybase.com/whiskies/distillery/238/caledonian
0.00,,,Caledonian Distillery,https://www.whiskybase.com/whiskies/distillery/90249/caledonian-distillery
86.49,3169,315,Cambus,https://www.whiskybase.com/whiskies/distillery/206/cambus
85.55,4294,410,Cameronbridge,https://www.whiskybase.com/whiskies/distillery/185/cameronbridge
0.00,,,Campbeltown Distillery,https://www.whiskybase.com/whiskies/distillery/90256/campbeltown-distillery
86.83,90163,6410,Caol Ila,https://www.whiskybase.com/whiskies/distillery/2/caol-ila
87.95,10167,617,Caperdonich,https://www.whiskybase.com/whiskies/distillery/124/caperdonich
82.34,7175,236,Cardhu,https://www.whiskybase.com/whiskies/distillery/64/cardhu
87.73,1352,119,Carsebridge,https://www.whiskybase.com/whiskies/distillery/187/carsebridge
85.45,14,3,Chain Pier,https://www.whiskybase.com/whiskies/distillery/95190/chain-pier
0.00,,,Clutha Distillery,https://www.whiskybase.com/whiskies/distillery/91055/clutha-distillery
86.94,51757,2394,Clynelish,https://www.whiskybase.com/whiskies/distillery/59/clynelish
87.07,1336,105,Coleburn,https://www.whiskybase.com/whiskies/distillery/164/coleburn
87.19,2557,152,Convalmore,https://www.whiskybase.com/whiskies/distillery/144/convalmore
0.00,,,Corry (Broadford),https://www.whiskybase.com/whiskies/distillery/86702/corry-broadford
0.00,,,Crafty Distillery,https://www.whiskybase.com/whiskies/distillery/92888/crafty-distillery
0.00,,,Crafty Distillery,https://www.whiskybase.com/whiskies/distillery/96568/crafty-distillery
85.34,10863,779,Cragganmore,https://www.whiskybase.com/whiskies/distillery/61/cragganmore
85.05,16116,1491,Craigellachie,https://www.whiskybase.com/whiskies/distillery/104/craigellachie
88.02,3706,59,Daftmill,https://www.whiskybase.com/whiskies/distillery/83262/daftmill
0.00,,,Daill,https://www.whiskybase.com/whiskies/distillery/86706/daill
85.43,16344,1300,Dailuaine,https://www.whiskybase.com/whiskies/distillery/158/dailuaine
78.34,10,6,Dalaruan Distillery,https://www.whiskybase.com/whiskies/distillery/87344/dalaruan-distillery
0.00,,,Dalintober Distillery,https://www.whiskybase.com/whiskies/distillery/90262/dalintober-distillery
87.93,3029,371,Dallas Dhu,https://www.whiskybase.com/whiskies/distillery/150/dallas-dhu
85.52,17611,1008,Dalmore,https://www.whiskybase.com/whiskies/distillery/81/dalmore
85.10,927,105,Dalmunach,https://www.whiskybase.com/whiskies/distillery/84790/dalmunach
83.71,8078,222,Dalwhinnie,https://www.whiskybase.com/whiskies/distillery/107/dalwhinnie
85.43,19386,650,Deanston,https://www.whiskybase.com/whiskies/distillery/159/deanston
85.85,863,67,Dornoch Distillery,https://www.whiskybase.com/whiskies/distillery/87253/dornoch-distillery
0.00,,,Drumore Distillery,https://www.whiskybase.com/whiskies/distillery/90285/drumore-distillery
84.37,7267,536,Dufftown,https://www.whiskybase.com/whiskies/distillery/102/dufftown
86.16,1119,133,Dumbarton,https://www.whiskybase.com/whiskies/distillery/189/dumbarton
0.00,,1,Dundashill,https://www.whiskybase.com/whiskies/distillery/89372/dundashill
83.00,387,48,Eden Mill,https://www.whiskybase.com/whiskies/distillery/84995/eden-mill
84.96,29351,1793,Edradour,https://www.whiskybase.com/whiskies/distillery/113/edradour
80.78,10,3,Falkirk Distillery Company,https://www.whiskybase.com/whiskies/distillery/89204/falkirk-distillery-company
84.47,9539,786,Fettercairn,https://www.whiskybase.com/whiskies/distillery/152/fettercairn
86.81,418,39,Garnheath,https://www.whiskybase.com/whiskies/distillery/239/garnheath
0.00,,,Gartbreck Distillery,https://www.whiskybase.com/whiskies/distillery/83372/gartbreck-distillery
84.64,3104,335,Girvan,https://www.whiskybase.com/whiskies/distillery/186/girvan
87.76,1821,200,Glen Albyn,https://www.whiskybase.com/whiskies/distillery/127/glen-albyn
86.18,14275,894,Glen Elgin,https://www.whiskybase.com/whiskies/distillery/111/glen-elgin
84.00,399,45,Glen Flagler,https://www.whiskybase.com/whiskies/distillery/175/glen-flagler
85.90,19894,1091,Glen Garioch,https://www.whiskybase.com/whiskies/distillery/108/glen-garioch
87.15,25177,2143,Glen Grant,https://www.whiskybase.com/whiskies/distillery/109/glen-grant
87.02,12993,685,Glen Keith,https://www.whiskybase.com/whiskies/distillery/130/glen-keith
87.30,2685,257,Glen Mhor,https://www.whiskybase.com/whiskies/distillery/126/glen-mhor
85.50,21977,1811,Glen Moray,https://www.whiskybase.com/whiskies/distillery/147/glen-moray
0.00,,,Glen Nevis Distillery,https://www.whiskybase.com/whiskies/distillery/90280/glen-nevis-distillery
85.42,8496,598,Glen Ord,https://www.whiskybase.com/whiskies/distillery/149/glen-ord
85.73,25853,1223,Glen Scotia,https://www.whiskybase.com/whiskies/distillery/83/glen-scotia
84.38,4287,442,Glen Spey,https://www.whiskybase.com/whiskies/distillery/161/glen-spey
85.95,33068,1375,Glenallachie,https://www.whiskybase.com/whiskies/distillery/165/glenallachie
86.29,14091,1019,Glenburgie,https://www.whiskybase.com/whiskies/distillery/128/glenburgie
85.65,9629,576,Glencadam,https://www.whiskybase.com/whiskies/distillery/129/glencadam
88.07,78212,1771,Glendronach,https://www.whiskybase.com/whiskies/distillery/101/glendronach
84.26,5052,368,Glendullan,https://www.whiskybase.com/whiskies/distillery/73/glendullan
87.10,1507,105,Glenesk,https://www.whiskybase.com/whiskies/distillery/155/glenesk
87.73,60799,2737,Glenfarclas,https://www.whiskybase.com/whiskies/distillery/5/glenfarclas
84.67,32216,1522,Glenfiddich,https://www.whiskybase.com/whiskies/distillery/7/glenfiddich
,,1,Glenfoyle,https://www.whiskybase.com/whiskies/distillery/89269/glenfoyle
91.33,8,1,Glenfyne (Glendarroch Glenglip),https://www.whiskybase.com/whiskies/distillery/86698/glenfyne-glendarroch-glenglip
87.03,16005,693,Glenglassaugh,https://www.whiskybase.com/whiskies/distillery/151/glenglassaugh
86.13,29077,1215,Glengoyne,https://www.whiskybase.com/whiskies/distillery/74/glengoyne
85.93,21907,273,Glengyle,https://www.whiskybase.com/whiskies/distillery/180/glengyle
83.66,5705,218,Glenkinchie,https://www.whiskybase.com/whiskies/distillery/60/glenkinchie
86.22,35806,2680,Glenlivet,https://www.whiskybase.com/whiskies/distillery/55/glenlivet
89.88,1781,120,Glenlochy,https://www.whiskybase.com/whiskies/distillery/160/glenlochy
86.26,9978,819,Glenlossie,https://www.whiskybase.com/whiskies/distillery/72/glenlossie
